"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Bosnia and Herzegovina","BIH","Europe","UMIC",2020,"ARIMA(0,1,0)",0.65,0.516083322070218,0.783916677929782,0.61,-0.04,0.0939166779297823,-0.173916677929782,TRUE,28561,11139
"Bosnia and Herzegovina","BIH","Europe","UMIC",2021,"ARIMA(0,1,0)",0.65,0.460613217843752,0.839386782156248,0.61,-0.04,0.149386782156248,-0.229386782156248,TRUE,27530,10737
"Bosnia and Herzegovina","BIH","Europe","UMIC",2022,"ARIMA(0,1,0)",0.65,0.418049509844779,0.881950490155221,0.58,-0.0700000000000001,0.161950490155221,-0.301950490155221,TRUE,26652,11194
"Belarus","BLR","Europe","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.9855,0.97204812545929,0.99,0.97,-0.0155,-0.00204812545928956,-0.02,FALSE,90996,2730
"Belarus","BLR","Europe","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.9855,0.97204812545929,0.99,0.98,-0.00549999999999995,0.00795187454071045,-0.01,TRUE,88703,1774
"Belarus","BLR","Europe","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.9855,0.97204812545929,0.99,0.98,-0.00549999999999995,0.00795187454071045,-0.01,TRUE,87113,1742
"Belize","BLZ","Americas","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.957,0.904910816673044,0.99,0.82,-0.137,-0.0849108166730441,-0.17,FALSE,6999,1260
"Belize","BLZ","Americas","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.957,0.904910816673044,0.99,0.79,-0.167,-0.114910816673044,-0.2,FALSE,7125,1496
"Belize","BLZ","Americas","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.957,0.904910816673044,0.99,0.81,-0.147,-0.094910816673044,-0.18,FALSE,7130,1355
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.8945,0.807897789333659,0.981102210666341,0.74,-0.1545,-0.067897789333659,-0.241102210666341,FALSE,256938,66804
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.8945,0.807897789333659,0.981102210666341,0.75,-0.1445,-0.057897789333659,-0.231102210666341,FALSE,257599,64400
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.8945,0.807897789333659,0.981102210666341,0.69,-0.2045,-0.117897789333659,-0.291102210666341,FALSE,258219,80048
"Brazil","BRA","Americas","UMIC",2020,"ARIMA(0,1,0)",0.91,0.863703911436458,0.956296088563542,0.79,-0.12,-0.0737039114364582,-0.166296088563542,FALSE,2755362,578626
"Brazil","BRA","Americas","UMIC",2021,"ARIMA(0,1,0)",0.91,0.844527443668613,0.975472556331387,0.73,-0.18,-0.114527443668613,-0.245472556331387,FALSE,2729876,737067
"Brazil","BRA","Americas","UMIC",2022,"ARIMA(0,1,0)",0.91,0.829812822416237,0.99,0.81,-0.1,-0.0198128224162371,-0.18,FALSE,2694048,511869
"Barbados","BRB","Americas","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.910499999999876,0.812095178172909,0.99,0.89,-0.0204999999998756,0.0779048218270914,-0.1,TRUE,3018,332
"Barbados","BRB","Americas","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.910499999999876,0.812095178172909,0.99,0.77,-0.140499999999876,-0.0420951781729086,-0.22,FALSE,3017,694
"Barbados","BRB","Americas","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.910499999999876,0.812095178172909,0.99,0.85,-0.0604999999998757,0.0379048218270913,-0.14,TRUE,3009,451
"Brunei Darussalam","BRN","Asia","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.97133483932671,0.936160148115858,0.99,0.99,0.0186651606732899,0.0538398518841422,0,TRUE,6209,62
"Brunei Darussalam","BRN","Asia","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.972029421701769,0.93237765000225,0.99,0.99,0.0179705782982313,0.0576223499977495,0,TRUE,6098,61
"Brunei Darussalam","BRN","Asia","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.972390846980518,0.931611320769832,0.99,0.97,-0.00239084698051817,0.0383886792301678,-0.02,TRUE,6009,180
"Bhutan","BTN","Asia","LMIC",2020,"ARIMA(0,1,0)",0.97,0.902852531167081,0.99,0.93,-0.0399999999999999,0.027147468832919,-0.0599999999999999,TRUE,9568,670
"Bhutan","BTN","Asia","LMIC",2021,"ARIMA(0,1,0)",0.97,0.875039138897461,0.99,0.97,0,0.0949608611025385,-0.02,TRUE,9507,285
"Bhutan","BTN","Asia","LMIC",2022,"ARIMA(0,1,0)",0.97,0.853697172381737,0.99,0.97,0,0.116302827618263,-0.02,TRUE,9469,284
"Botswana","BWA","Africa","UMIC",2020,"ARIMA(2,2,0)",0.97,0.962515326654257,0.977484673345743,0.87,-0.0999999999999996,-0.0925153266542568,-0.107484673345743,FALSE,59780,7771
"Botswana","BWA","Africa","UMIC",2021,"ARIMA(2,2,0)",0.97,0.960396790219275,0.979603209780725,0.97,3.33066907387547e-16,0.00960320978072537,-0.00960320978072471,TRUE,59251,1778
"Botswana","BWA","Africa","UMIC",2022,"ARIMA(2,2,0)",0.969999999999999,0.954604215828923,0.985395784171076,0.9,-0.0699999999999994,-0.0546042158289228,-0.085395784171076,FALSE,58829,5883
"Canada","CAN","Americas","HIC",2020,"ARIMA(0,1,0)",0.9,0.880918228370122,0.919081771629878,0.9,0,0.0190817716298781,-0.0190817716298781,TRUE,369130,36913
"Canada","CAN","Americas","HIC",2021,"ARIMA(0,1,0)",0.9,0.87301429976692,0.92698570023308,0.9,0,0.0269857002330798,-0.0269857002330798,TRUE,372355,37236
"Canada","CAN","Americas","HIC",2022,"ARIMA(0,1,0)",0.9,0.866949402038625,0.933050597961375,0.92,0.02,0.0530505979613752,-0.0130505979613752,TRUE,374917,29993
"Switzerland","CHE","Europe","HIC",2020,"ARIMA(0,1,0) with drift",0.956842105263142,0.926159686040212,0.987524524486072,0.97,0.013157894736858,0.0438403139597883,-0.0175245244860722,TRUE,86290,2589
"Switzerland","CHE","Europe","HIC",2021,"ARIMA(0,1,0) with drift",0.963684210526284,0.920292717134799,0.99,0.95,-0.0136842105262839,0.0297072828652011,-0.04,TRUE,86846,4342
"Switzerland","CHE","Europe","HIC",2022,"ARIMA(0,1,0) with drift",0.970526315789426,0.917382806796183,0.99,0.96,-0.0105263157894259,0.0426171932038174,-0.03,TRUE,86249,3450
"Chile","CHL","Americas","HIC",2020,"ARIMA(0,0,1) with non-zero mean",0.943473058616915,0.900766434864668,0.986179682369162,0.91,-0.0334730586169149,0.00923356513533213,-0.0761796823691618,TRUE,226847,20416
"Chile","CHL","Americas","HIC",2021,"ARIMA(0,0,1) with non-zero mean",0.936396644108612,0.889645804135054,0.98314748408217,0.92,-0.0163966441086122,0.0303541958649456,-0.06314748408217,TRUE,228192,18255
"Chile","CHL","Americas","HIC",2022,"ARIMA(0,0,1) with non-zero mean",0.936396644108612,0.889645804135054,0.98314748408217,0.94,0.00360335589138772,0.0503541958649455,-0.0431474840821701,TRUE,229841,13790
"China","CHN","Asia","UMIC",2020,"ARIMA(0,1,0) with drift",0.99,0.964210709814162,0.99,0.99,0,0.0257892901858376,0,TRUE,12179125,121791
"China","CHN","Asia","UMIC",2021,"ARIMA(0,1,0) with drift",0.99,0.958153065826013,0.99,0.99,0,0.0318469341739865,0,TRUE,10828527,108285
"China","CHN","Asia","UMIC",2022,"ARIMA(0,1,0) with drift",0.99,0.955341764310529,0.99,0.99,0,0.0346582356894714,0,TRUE,10703232,107032
"Cote d'Ivoire","CIV","Africa","LMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.6925,0.550469322469672,0.834530677530328,0.66,-0.0324999999999999,0.109530677530328,-0.174530677530328,TRUE,875926,297815
"Cote d'Ivoire","CIV","Africa","LMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.6925,0.550469322469672,0.834530677530328,0.68,-0.0124999999999998,0.129530677530328,-0.154530677530328,TRUE,891654,285329
"Cote d'Ivoire","CIV","Africa","LMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.6925,0.550469322469672,0.834530677530328,0.65,-0.0424999999999999,0.0995306775303281,-0.184530677530328,TRUE,901482,315519
"Cameroon","CMR","Africa","LMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.600770736891542,0.509673949542862,0.691867524240222,0.62,0.0192292631084579,0.110326050457138,-0.0718675242402225,TRUE,903212,343221
"Cameroon","CMR","Africa","LMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.601481616736894,0.47755290973163,0.725410323742158,0.62,0.0185183832631058,0.14244709026837,-0.105410323742158,TRUE,913361,347077
"Cameroon","CMR","Africa","LMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.602137288160013,0.455972785517169,0.748301790802857,0.65,0.047862711839987,0.194027214482831,-0.0983017908028574,TRUE,923258,323140
"Democratic Republic of the Congo","COD","Africa","LIC",2020,"ARIMA(0,1,0)",0.65,0.566724031898347,0.733275968101653,0.62,-0.03,0.0532759681016528,-0.113275968101653,TRUE,3759997,1428799
"Democratic Republic of the Congo","COD","Africa","LIC",2021,"ARIMA(0,1,0)",0.65,0.532229996490893,0.767770003509107,0.55,-0.1,0.0177700035091066,-0.217770003509107,TRUE,3864669,1739101
"Democratic Republic of the Congo","COD","Africa","LIC",2022,"ARIMA(0,1,0)",0.65,0.505761792198452,0.794238207801548,0.56,-0.09,0.0542382078015479,-0.234238207801548,TRUE,3965786,1744946
"Congo","COG","Africa","LMIC",2020,"ARIMA(0,1,0)",0.73,0.578648591462948,0.881351408537052,0.68,-0.0499999999999999,0.101351408537052,-0.201351408537052,TRUE,172741,55277
"Congo","COG","Africa","LMIC",2021,"ARIMA(0,1,0)",0.73,0.51595678536263,0.94404321463737,0.68,-0.0499999999999999,0.16404321463737,-0.26404321463737,TRUE,174283,55771
"Congo","COG","Africa","LMIC",2022,"ARIMA(0,1,0)",0.73,0.467851670616712,0.99,0.65,-0.08,0.182148329383288,-0.34,TRUE,174567,61098
"Colombia","COL","Americas","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.926499999999943,0.880965651943131,0.972034348056754,0.9,-0.0264999999999426,0.0190343480568689,-0.072034348056754,TRUE,726305,72630
"Colombia","COL","Americas","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.926499999999943,0.880965651943131,0.972034348056754,0.86,-0.0664999999999426,-0.0209656519431312,-0.112034348056754,FALSE,723229,101252
"Colombia","COL","Americas","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.926499999999943,0.880965651943131,0.972034348056754,0.88,-0.0464999999999426,-0.000965651943131141,-0.092034348056754,FALSE,716393,85967
"Comoros","COM","Africa","LMIC",2020,"ARIMA(0,1,0)",0.9,0.803351619440962,0.99,0.9,0,0.096648380559038,-0.09,TRUE,23208,2321
"Comoros","COM","Africa","LMIC",2021,"ARIMA(0,1,0)",0.9,0.763318549432012,0.99,0.9,0,0.136681450567988,-0.09,TRUE,23279,2328
"Comoros","COM","Africa","LMIC",2022,"ARIMA(0,1,0)",0.9,0.732600094402494,0.99,0.86,-0.04,0.127399905597506,-0.13,TRUE,23300,3262
"Cabo Verde","CPV","Africa","LMIC",2020,"ARIMA(0,1,0)",0.98,0.943468492793569,0.99,0.95,-0.03,0.00653150720643114,-0.04,TRUE,9903,495
"Cabo Verde","CPV","Africa","LMIC",2021,"ARIMA(0,1,0)",0.98,0.928336647054735,0.99,0.95,-0.03,0.0216633529452653,-0.04,TRUE,9876,494
"Cabo Verde","CPV","Africa","LMIC",2022,"ARIMA(0,1,0)",0.98,0.916725573441393,0.99,0.95,-0.03,0.0332744265586072,-0.04,TRUE,9809,490
"Costa Rica","CRI","Americas","UMIC",2020,"ARIMA(0,1,0)",0.95,0.868937972200982,0.99,0.95,0,0.0810620277990182,-0.04,TRUE,61865,3093
"Costa Rica","CRI","Americas","UMIC",2021,"ARIMA(0,1,0)",0.95,0.835360980893164,0.99,0.89,-0.0599999999999999,0.0546390191068363,-0.1,TRUE,60831,6691
"Costa Rica","CRI","Americas","UMIC",2022,"ARIMA(0,1,0)",0.95,0.80959644928754,0.99,0.9,-0.0499999999999999,0.0904035507124602,-0.09,TRUE,60159,6016
"Cuba","CUB","Americas","UMIC",2020,"ARIMA(1,1,0)",0.99,0.973924795771852,0.99,0.98,-0.01,0.00607520422814756,-0.01,TRUE,105244,2105
"Cuba","CUB","Americas","UMIC",2021,"ARIMA(1,1,0)",0.99,0.960031254986738,0.99,0.99,0,0.0299687450132616,0,TRUE,100100,1001
"Cuba","CUB","Americas","UMIC",2022,"ARIMA(1,1,0)",0.99,0.94718503854059,0.99,0.99,0,0.0428149614594103,0,TRUE,99349,993
"Cyprus","CYP","Asia","HIC",2020,"ARIMA(0,1,0)",0.86,0.8337784729554,0.8862215270446,0.86,0,0.0262215270445996,-0.0262215270445996,TRUE,13055,1828
"Cyprus","CYP","Asia","HIC",2021,"ARIMA(0,1,0)",0.86,0.822917160827394,0.897082839172606,0.86,0,0.0370828391726057,-0.0370828391726057,TRUE,12795,1791
"Cyprus","CYP","Asia","HIC",2022,"ARIMA(0,1,0)",0.86,0.814582982906712,0.905417017093288,0.86,0,0.0454170170932878,-0.0454170170932878,TRUE,12494,1749
"Czechia","CZE","Europe","HIC",2020,"ARIMA(1,0,1) with non-zero mean",0.921922163945174,0.898335091691087,0.945509236199262,0.94,0.0180778360548257,0.0416649083089131,-0.00550923619926169,TRUE,106811,6409
"Czechia","CZE","Europe","HIC",2021,"ARIMA(1,0,1) with non-zero mean",0.929576081389434,0.896702928826344,0.962449233952524,0.97,0.0404239186105659,0.0732970711736558,0.00755076604747607,FALSE,103737,3112
"Czechia","CZE","Europe","HIC",2022,"ARIMA(1,0,1) with non-zero mean",0.935825776987515,0.898007699714009,0.973643854261021,0.97,0.0341742230124852,0.0719923002859914,-0.00364385426102098,TRUE,101350,3040
"Germany","DEU","Europe","HIC",2020,"ARIMA(0,2,1)",0.970053078593566,0.959296103018189,0.980810054168943,0.97,-5.30785935662914e-05,0.0107038969818107,-0.0108100541689433,TRUE,758344,22750
"Germany","DEU","Europe","HIC",2021,"ARIMA(0,2,1)",0.970106157187132,0.952233847522391,0.987978466851873,0.97,-0.000106157187132472,0.0177661524776085,-0.0179784668518734,TRUE,761164,22835
"Germany","DEU","Europe","HIC",2022,"ARIMA(0,2,1)",0.970159235780699,0.944943369484403,0.99,0.97,-0.000159235780698652,0.0250566305155965,-0.02,TRUE,759263,22778
"Djibouti","DJI","Africa","LMIC",2020,"ARIMA(0,1,0)",0.83,0.720319180730955,0.939680819269045,0.62,-0.21,-0.100319180730955,-0.319680819269045,FALSE,23678,8998
"Djibouti","DJI","Africa","LMIC",2021,"ARIMA(0,1,0)",0.83,0.674887897857524,0.985112102142475,0.5,-0.33,-0.174887897857524,-0.485112102142475,FALSE,23740,11870
"Djibouti","DJI","Africa","LMIC",2022,"ARIMA(0,1,0)",0.83,0.640027248410235,0.99,0.5,-0.33,-0.140027248410235,-0.49,FALSE,23785,11892
"Dominica","DMA","Americas","UMIC",2020,"ARIMA(0,1,0)",0.92,0.816776011340538,0.99,0.92,0,0.103223988659462,-0.07,TRUE,947,76
"Dominica","DMA","Americas","UMIC",2021,"ARIMA(0,1,0)",0.92,0.774019235275543,0.99,0.88,-0.04,0.105980764724457,-0.11,TRUE,955,115
"Dominica","DMA","Americas","UMIC",2022,"ARIMA(0,1,0)",0.92,0.741210807081899,0.99,0.83,-0.0900000000000001,0.0887891929181014,-0.16,TRUE,956,163
"Denmark","DNK","Europe","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.957367249305216,0.910266094011287,0.99,0.94,-0.0173672493052159,0.0297339059887125,-0.05,TRUE,61231,3674
"Denmark","DNK","Europe","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.955097072019282,0.89290334133538,0.99,0.95,-0.00509707201928167,0.0570966586646201,-0.04,TRUE,62994,3150
"Denmark","DNK","Europe","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.953139535774098,0.881763433011375,0.99,0.95,-0.0031395357740982,0.0682365669886246,-0.04,TRUE,63946,3197
