"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Belgium","BEL","Europe","HIC",2021,"ARIMA(0,1,0)",0.97,0.94988212176665,0.99,0.98,0.01,0.0301178782333497,-0.01,TRUE,116101,2322
"Belgium","BEL","Europe","HIC",2022,"ARIMA(0,1,0)",0.97,0.945360731810424,0.99,0.98,0.01,0.0346392681895755,-0.01,TRUE,116716,2334
"Benin","BEN","Africa","LMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.757000000000054,0.703759111149605,0.810240888850503,0.72,-0.037000000000054,0.0162408888503951,-0.0902408888505031,TRUE,448204,125497
"Benin","BEN","Africa","LMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.757000000000054,0.703759111149605,0.810240888850503,0.76,0.00299999999994605,0.0562408888503951,-0.050240888850503,TRUE,454920,109181
"Benin","BEN","Africa","LMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.757000000000054,0.703759111149605,0.810240888850503,0.76,0.00299999999994605,0.0562408888503951,-0.050240888850503,TRUE,460723,110574
"Burkina Faso","BFA","Africa","LIC",2020,"ARIMA(1,2,0)",0.91,0.840700990115155,0.979299009884845,0.91,1.11022302462516e-16,0.0692990098848447,-0.0692990098848445,TRUE,744797,67032
"Burkina Faso","BFA","Africa","LIC",2021,"ARIMA(1,2,0)",0.91,0.789002681227875,0.99,0.91,2.22044604925031e-16,0.120997318772125,-0.08,TRUE,754125,67871
"Burkina Faso","BFA","Africa","LIC",2022,"ARIMA(1,2,0)",0.91,0.716121146072092,0.99,0.91,3.33066907387547e-16,0.193878853927908,-0.08,TRUE,762151,68594
"Bangladesh","BGD","Asia","LMIC",2020,"ARIMA(0,1,0)",0.98,0.91063092493698,0.99,0.98,0,0.0693690750630196,-0.01,TRUE,2958134,59163
"Bangladesh","BGD","Asia","LMIC",2021,"ARIMA(0,1,0)",0.98,0.8818973132366,0.99,0.98,0,0.0981026867633995,-0.01,TRUE,2957723,59154
"Bangladesh","BGD","Asia","LMIC",2022,"ARIMA(0,1,0)",0.98,0.859849237516791,0.99,0.98,0,0.120150762483209,-0.01,TRUE,2940527,58811
"Bulgaria","BGR","Europe","UMIC",2020,"ARIMA(0,1,0)",0.93,0.89079848988429,0.96920151011571,0.91,-0.02,0.01920151011571,-0.0592015101157101,TRUE,59507,5356
"Bulgaria","BGR","Europe","UMIC",2021,"ARIMA(0,1,0)",0.93,0.874560692728857,0.985439307271143,0.89,-0.04,0.0154393072711431,-0.0954393072711431,TRUE,57855,6364
"Bulgaria","BGR","Europe","UMIC",2022,"ARIMA(0,1,0)",0.93,0.862100992746165,0.99,0.91,-0.02,0.047899007253835,-0.08,TRUE,56406,5077
"Bahrain","BHR","Asia","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.981999999999966,0.965663528624034,0.99,0.98,-0.00199999999996647,0.0143364713759655,-0.01,TRUE,18855,377
"Bahrain","BHR","Asia","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.981999999999966,0.965663528624034,0.99,0.98,-0.00199999999996647,0.0143364713759655,-0.01,TRUE,17417,348
"Bahrain","BHR","Asia","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.981999999999966,0.965663528624034,0.99,0.97,-0.0119999999999665,0.00433647137596549,-0.02,TRUE,16783,503
"Bahamas","BHS","Americas","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.901587873945781,0.861064035651662,0.942111712239899,0.83,-0.0715878739457806,-0.0310640356516618,-0.112111712239899,FALSE,4627,787
"Bahamas","BHS","Americas","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.910812957892743,0.859015754310092,0.962610161475395,0.86,-0.0508129578927434,0.000984245689907737,-0.102610161475395,TRUE,4624,647
"Bahamas","BHS","Americas","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.918157029309701,0.860342147451229,0.975971911168173,0.87,-0.0481570293097009,0.00965785254877127,-0.105971911168173,TRUE,4618,600
"Bosnia and Herzegovina","BIH","Europe","UMIC",2020,"ARIMA(2,1,0)",0.719222137912501,0.646888176728363,0.791556099096639,0.72,0.000777862087498526,0.0731118232716366,-0.0715560990966395,TRUE,28561,7997
"Bosnia and Herzegovina","BIH","Europe","UMIC",2021,"ARIMA(2,1,0)",0.722417406124522,0.633975707419814,0.810859104829231,0.76,0.0375825938754778,0.126024292580186,-0.0508591048292308,TRUE,27530,6607
"Bosnia and Herzegovina","BIH","Europe","UMIC",2022,"ARIMA(2,1,0)",0.715662002609681,0.584965331634971,0.84635867358439,0.75,0.0343379973903193,0.165034668365029,-0.0963586735843904,TRUE,26652,6663
"Belarus","BLR","Europe","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.954999999999999,0.743953312947745,0.99,0.97,0.0150000000000006,0.226046687052255,-0.02,TRUE,90996,2730
"Belarus","BLR","Europe","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.954999999999999,0.743953312947745,0.99,0.98,0.0250000000000006,0.236046687052255,-0.01,TRUE,88703,1774
"Belarus","BLR","Europe","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.954999999999999,0.743953312947745,0.99,0.98,0.0250000000000006,0.236046687052255,-0.01,TRUE,87113,1742
