"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Cote d'Ivoire","CIV","West & Central Africa","Lower middle income","Preparatory transition phase",0.84,0.690395061567303,0.989604938432697,0.8,-0.0399999999999999,-0.189604938432697,0.109604938432697,FALSE,0.299209876865395
"Cuba","CUB","Latin America & Caribbean","Upper middle income","Fully self-financing",0.99,0.846253044263249,1.13374695573675,0.99,0,-0.143746955736751,0.143746955736751,FALSE,0.287493911473503
"Democratic People's Republic of Korea","PRK","East Asia & Pacific","Low income","Initial self-financing",0.97,0.912670460444613,1.02732953955539,0.97,1.11022302462516e-16,-0.0573295395553868,0.057329539555387,FALSE,0.114659079110774
"Democratic Republic of the Congo","COD","West & Central Africa","Low income","Initial self-financing",0.57,0.429886086546371,0.710113913453629,0.57,0,-0.140113913453629,0.140113913453629,FALSE,0.280227826907257
"Denmark","DNK","Western Europe","High income","Never Gavi",0.965550359545163,0.926054636929182,1.00504608216114,0.97,0.00444964045483676,-0.035046082161144,0.0439453630708175,FALSE,0.0789914452319616
"Djibouti","DJI","Eastern & Southern Africa","Lower middle income","Preparatory transition phase",0.85,0.710319615013602,0.989680384986398,0.7,-0.15,-0.289680384986398,-0.0103196150136021,TRUE,0.279360769972796
"Dominica","DMA","Latin America & Caribbean","Upper middle income","Never Gavi",0.9725,0.931350581878314,1.01364941812169,0.97,-0.00249999999999972,-0.0436494181216855,0.0386494181216862,FALSE,0.0822988362433718
"Dominican Republic","DOM","Latin America & Caribbean","Upper middle income","Never Gavi",0.889573064145396,0.801059288780774,0.978086839510019,0.82,-0.0695730641453963,-0.158086839510019,0.0189407112192261,FALSE,0.177027550729245
"Ecuador","ECU","Latin America & Caribbean","Upper middle income","Never Gavi",0.852239524825842,0.805831032313963,0.898648017337722,0.7,-0.152239524825842,-0.198648017337722,-0.105831032313963,TRUE,0.092816985023759
"Egypt","EGY","Middle East & North Africa","Lower middle income","Never Gavi",0.945972593840127,0.920758139361612,0.971187048318643,0.94,-0.00597259384012749,-0.0311870483186433,0.0192418606383883,FALSE,0.0504289089570316
"El Salvador","SLV","Latin America & Caribbean","Lower middle income","Never Gavi",0.87327205673004,0.77491451639465,0.97162959706543,0.72,-0.15327205673004,-0.25162959706543,-0.0549145163946504,TRUE,0.196715080670779
"Equatorial Guinea","GNQ","West & Central Africa","Upper middle income","Never Gavi",0.53,0.442810152016495,0.617189847983505,0.53,0,-0.0871898479835049,0.0871898479835049,FALSE,0.17437969596701
"Eritrea","ERI","Eastern & Southern Africa","Low income","Initial self-financing",0.948269170818936,0.911476963278648,0.985061378359223,0.95,0.00173082918106437,-0.0350613783592233,0.038523036721352,FALSE,0.0735844150805753
"Estonia","EST","Western Europe","High income","Never Gavi",0.91,0.894418173441224,0.925581826558776,0.91,0,-0.015581826558776,0.015581826558776,FALSE,0.0311636531175521
"Eswatini","SWZ","Eastern & Southern Africa","Lower middle income","Never Gavi",0.9,0.855485657560597,0.944514342439403,0.83,-0.0700000000000001,-0.114514342439403,-0.0254856575605974,TRUE,0.0890286848788053
"Ethiopia","ETH","Eastern & Southern Africa","Low income","Initial self-financing",0.7,0.657659741206963,0.742340258793037,0.71,0.0099999999999999,-0.0323402587930371,0.0523402587930369,FALSE,0.0846805175860741
"Finland","FIN","Western Europe","High income","Never Gavi",0.91,0.879500236769494,0.940499763230506,0.91,0,-0.0304997632305058,0.0304997632305058,FALSE,0.0609995264610117
"Gabon","GAB","West & Central Africa","Upper middle income","Never Gavi",0.7,0.510987809984969,0.889012190015031,0.63,-0.07,-0.259012190015031,0.119012190015031,FALSE,0.378024380030062
"Georgia","GEO","Eastern Europe & Central Asia","Upper middle income","Fully self-financing",0.94,0.850069965394403,1.0299300346056,0.88,-0.0599999999999999,-0.149930034605597,0.0299300346055971,FALSE,0.179860069211194
"Ghana","GHA","West & Central Africa","Lower middle income","Preparatory transition phase",0.97,0.874933213473776,1.06506678652622,0.94,-0.03,-0.125066786526224,0.0650667865262242,FALSE,0.190133573052448
"Greece","GRC","Western Europe","High income","Never Gavi",0.99,0.979358798823176,1.00064192329969,0.99,0,-0.0106419232996859,0.0106412011768241,FALSE,0.02128312447651
"Grenada","GRD","Latin America & Caribbean","Upper middle income","Never Gavi",0.9545,0.88214321725975,1.02685678274025,0.72,-0.2345,-0.30685678274025,-0.16214321725975,TRUE,0.1447135654805
"Guatemala","GTM","Latin America & Caribbean","Upper middle income","Never Gavi",0.849349433118314,0.746658618519299,0.952040247717329,0.83,-0.0193494331183139,-0.122040247717329,0.0833413814807008,FALSE,0.205381629198029
"Guinea","GIN","West & Central Africa","Low income","Initial self-financing",0.477674997307448,0.401160407036986,0.55418958757791,0.47,-0.00767499730744781,-0.0841895875779097,0.0688395929630141,FALSE,0.153029180540924
"Guyana","GUY","Latin America & Caribbean","Upper middle income","Fully self-financing",0.987620088083278,0.944284459286915,1.03095571687964,0.99,0.00237991191672171,-0.0409557168796413,0.0457155407130847,FALSE,0.086671257592726
"Haiti","HTI","Latin America & Caribbean","Lower middle income","Initial self-financing",0.38,0.314341536594615,0.445658463405385,0.51,0.13,0.0643415365946152,0.195658463405385,TRUE,0.13131692681077
"Honduras","HND","Latin America & Caribbean","Lower middle income","Fully self-financing",0.897097281436777,0.850801511276644,0.94339305159691,0.8,-0.0970972814367769,-0.14339305159691,-0.0508015112766441,TRUE,0.0925915403202655
"India","IND","South Asia","Lower middle income","Accelerated transition phase",0.927368421052628,0.892894537057284,0.961842305047972,0.85,-0.0773684210526281,-0.111842305047972,-0.0428945370572842,TRUE,0.0689477679906878
"Indonesia","IDN","East Asia & Pacific","Lower middle income","Fully self-financing",0.85,0.793122707357008,0.906877292642992,0.77,-0.08,-0.136877292642992,-0.0231227073570076,TRUE,0.113754585285985
"Iran (Islamic Republic of)","IRN","Middle East & North Africa","Lower middle income","Never Gavi",0.984999999999989,0.963435707770769,1.00656429222921,0.99,0.00500000000001111,-0.0165642922292086,0.0265642922292307,FALSE,0.0431285844584394
"Iraq","IRQ","Middle East & North Africa","Upper middle income","Never Gavi",0.812766358484008,0.700566602104267,0.924966114863749,0.74,-0.0727663584840079,-0.184966114863749,0.0394333978957331,FALSE,0.224399512759482
"Ireland","IRL","Western Europe","High income","Never Gavi",0.943548924548465,0.922064089681332,0.965033759415599,0.94,-0.00354892454846545,-0.0250337594155988,0.0179359103186679,FALSE,0.0429696697342667
"Israel","ISR","Middle East & North Africa","High income","Never Gavi",0.98,0.946650695589806,1.01334930441019,0.98,0,-0.0333493044101945,0.0333493044101945,FALSE,0.0666986088203889
"Italy","ITA","Western Europe","High income","Never Gavi",0.95557327371595,0.918836510176721,0.992310037255179,0.94,-0.01557327371595,-0.0523100372551788,0.0211634898232789,FALSE,0.0734735270784577
"Jamaica","JAM","Latin America & Caribbean","Upper middle income","Never Gavi",0.9475,0.887890022570529,1.00710997742947,0.96,0.0125000000000001,-0.047109977429471,0.0721099774294712,FALSE,0.119219954858942
"Japan","JPN","East Asia & Pacific","High income","Never Gavi",0.974766656281896,0.923967855187422,1.02556545737637,0.96,-0.0147666562818962,-0.0655654573763702,0.0360321448125778,FALSE,0.101597602188948
"Jordan","JOR","Middle East & North Africa","Upper middle income","Never Gavi",0.966999999999986,0.915300419624219,1.01869958037575,0.77,-0.196999999999986,-0.248699580375752,-0.145300419624219,TRUE,0.103399160751533
