"Country","ISO code","Region","Income group","Gavi eligibility status","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (lower bound)","ARIMA modelled expected coverage (upper bound)","WUENIC reported 2020 coverage","Coverage delta","cov_delta_high","cov_delta_low","confident_95","ci_width","un_region","Data unreliable flag","Surviving infants","Additional missed children (mean)","Additional missed children (lower bound)","Additional missed children (upper bound)","Expected missed children","Total missed children"
"El Salvador","SLV","Latin America & Caribbean","LMIC","Never Gavi","87.3%",0.77491451639465,0.97162959706543,"72.0%","-15.3%",-0.25162959706543,-0.0549145163946504,TRUE,0.196715080670779,"Americas",TRUE,114102,17488,6265,28711,14459,31948
"Equatorial Guinea","GNQ","West & Central Africa","UMIC","Never Gavi","53.0%",0.442810152016495,0.617189847983505,"53.0%","0.0%",-0.0871898479835049,0.0871898479835049,FALSE,0.17437969596701,"Africa",FALSE,42590,0,-3713,3713,20017,20017
"Eritrea","ERI","Eastern & Southern Africa","LIC","Initial self-financing","94.8%",0.911476963278648,0.985061378359223,"95.0%","0.2%",-0.0350613783592233,0.038523036721352,FALSE,0.0735844150805753,"Africa",FALSE,100941,-174,-3888,3539,5221,5047
"Estonia","EST","Western Europe","HIC","Never Gavi","91.0%",0.894418173441224,0.925581826558776,"91.0%","0.0%",-0.015581826558776,0.015581826558776,FALSE,0.0311636531175521,"Europe",FALSE,13378,0,-208,208,1204,1204
"Eswatini","SWZ","Eastern & Southern Africa","LMIC","Never Gavi","90.0%",0.855485657560597,0.944514342439403,"83.0%","-7.0%",-0.114514342439403,-0.0254856575605974,TRUE,0.0890286848788053,"Africa",FALSE,28357,1984,722,3247,2835,4820
"Ethiopia","ETH","Eastern & Southern Africa","LIC","Initial self-financing","70.0%",0.657659741206963,0.742340258793037,"71.0%","1.0%",-0.0323402587930371,0.0523402587930369,FALSE,0.0846805175860741,"Africa",FALSE,3499225,-34992,-183150,113165,1049767,1014775
"Finland","FIN","Western Europe","HIC","Never Gavi","91.0%",0.879500236769494,0.940499763230506,"91.0%","0.0%",-0.0304997632305058,0.0304997632305058,FALSE,0.0609995264610117,"Europe",FALSE,49030,0,-1495,1495,4412,4412
"Gabon","GAB","West & Central Africa","UMIC","Never Gavi","70.0%",0.510987809984969,0.889012190015031,"63.0%","-7.0%",-0.259012190015031,0.119012190015031,FALSE,0.378024380030062,"Africa",FALSE,65052,4553,-7741,16849,19515,24069
"Georgia","GEO","Eastern Europe & Central Asia","UMIC","Fully self-financing","94.0%",0.850069965394403,1.0299300346056,"88.0%","-6.0%",-0.149930034605597,0.0299300346055971,FALSE,0.179860069211194,"Asia",FALSE,51021,3061,-1527,7649,3061,6122
"Ghana","GHA","West & Central Africa","LMIC","Preparatory transition phase","97.0%",0.874933213473776,1.06506678652622,"94.0%","-3.0%",-0.125066786526224,0.0650667865262242,FALSE,0.190133573052448,"Africa",FALSE,860082,25802,-55962,107567,25802,51604
