"Country","ISO code","ARIMA model fit","Expected 2020 coverage","Expected: 95% Confidence interval - lower bound","Expected: 95% Confidence interval - upper bound"
"Mali","MLI","ARIMA(2,0,0) with non-zero mean","81.3%","73.8%","88.8%"
"Malta","MLT","ARIMA(1,0,0) with non-zero mean","97.4%","91.5%","103.4%"
"Marshall Islands","MHL","ARIMA(0,1,0)","96.0%","74.7%","117.3%"
"Mauritania","MRT","ARIMA(2,0,0) with non-zero mean","87.5%","77.4%","97.6%"
"Mauritius","MUS","ARIMA(1,0,0) with non-zero mean","96.8%","93.1%","100.5%"
"Mexico","MEX","ARIMA(0,1,0)","84.0%","77.7%","90.3%"
"Micronesia (Federated States of)","FSM","ARIMA(1,1,0)","97.0%","87.4%","106.6%"
"Monaco","MCO","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Mongolia","MNG","ARIMA(0,0,0) with non-zero mean","98.0%","94.9%","101.1%"
"Morocco","MAR","ARIMA(0,1,1)","99.0%","96.6%","101.3%"
"Mozambique","MOZ","ARIMA(1,1,0)","91.0%","89.0%","93.0%"
"Myanmar","MMR","ARIMA(0,1,0)","93.0%","84.6%","101.4%"
"Namibia","NAM","ARIMA(0,1,0)","92.0%","85.6%","98.4%"
"Nauru","NRU","ARIMA(0,1,0)","99.0%","91.6%","106.4%"
"Nepal","NPL","ARIMA(2,1,0) with drift","98.1%","93.1%","103.1%"
"Netherlands","NLD","ARIMA(0,1,0)","98.0%","97.0%","99.0%"
"New Zealand","NZL","ARIMA(0,0,1) with non-zero mean","93.5%","90.3%","96.6%"
"Nicaragua","NIC","ARIMA(0,1,0)","99.0%","91.8%","106.2%"
"Niger","NER","ARIMA(0,1,0) with drift","94.4%","88.9%","99.9%"
"Nigeria","NGA","ARIMA(0,1,0)","65.0%","53.7%","76.3%"
"Norway","NOR","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Oman","OMN","ARIMA(0,0,0) with non-zero mean","99.0%","98.5%","99.4%"
"Pakistan","PAK","ARIMA(0,1,0) with drift","91.1%","85.7%","96.5%"
"Palau","PLW","ARIMA(0,1,0)","99.0%","98.2%","99.8%"
"Panama","PAN","ARIMA(0,0,0) with non-zero mean","96.7%","93.0%","100.4%"
"Papua New Guinea","PNG","ARIMA(0,1,0)","44.0%","31.4%","56.6%"
"Paraguay","PRY","ARIMA(1,0,0) with non-zero mean","89.7%","85.8%","93.7%"
"Peru","PER","ARIMA(0,0,0) with non-zero mean","95.4%","89.8%","101.1%"
"Philippines","PHL","ARIMA(0,1,0)","79.0%","64.9%","93.1%"
"Poland","POL","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Portugal","PRT","ARIMA(0,0,0) with non-zero mean","98.4%","96.0%","100.9%"
"Qatar","QAT","ARIMA(0,0,1) with non-zero mean","97.7%","94.3%","101.1%"
"Republic of Korea","KOR","ARIMA(0,0,1) with non-zero mean","97.6%","95.3%","99.9%"
"Republic of Moldova","MDA","ARIMA(0,1,0)","91.0%","83.9%","98.1%"
"Republic of North Macedonia","MKD","ARIMA(0,0,0) with non-zero mean","97.2%","94.6%","99.9%"
"Romania","ROU","ARIMA(0,1,0)","96.0%","94.7%","97.3%"
"Russian Federation","RUS","ARIMA(1,0,0) with non-zero mean","97.1%","95.9%","98.3%"
"Rwanda","RWA","ARIMA(0,1,0)","99.0%","96.2%","101.8%"
"Saint Kitts and Nevis","KNA","ARIMA(0,0,0) with non-zero mean","98.8%","97.9%","99.6%"
