"Country","ISO code","UNICEF Region (unused)","UN region","Income group","Gavi eligibility status","Gavi eligibility (binary)","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (max 95% CI)","ARIMA modelled expected coverage (min 95% CI)","ARIMA forecast unreliable","ARIMA coverage 95% CI","WUENIC reported 2020 coverage","Coverage delta","Coverage delta (max 95% CI)","Coverage delta (min 95% CI)","95% confident actuals outside expected","Surviving infants","Total missed children","Expected missed children","Additional missed children (mean)","Additional missed children (max 95% CI)","Additional missed children (min 95% CI)"
"Canada","CAN","North America","Americas","HIC","Never Gavi","Not eligible","90.9%",0.879701945520536,0.938244354639273,FALSE,0.058542409118737,"91.0%","0.1%",0.0302980544794644,-0.0282443546392726,FALSE,385184,34666,35062,-395,-11670,10879
"Central African Republic","CAF","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","43.8%",0.313683585460941,0.563316414538742,FALSE,0.249632829077801,"42.0%","-1.8%",0.106316414539059,-0.143316414538742,FALSE,156219,90607,87716,2890,-16608,22388
"Chad","TCD","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","50.0%",0.357951437481445,0.642048562518555,FALSE,0.28409712503711,"52.0%","2.0%",0.162048562518555,-0.122048562518555,FALSE,629696,302254,314848,-12593,-102041,76853
"Chile","CHL","Latin America & Caribbean","Americas","HIC","Never Gavi","Not eligible","94.6%",0.906593334021367,0.985151048056067,FALSE,0.0785577140346996,"93.0%","-1.6%",0.0234066659786326,-0.055151048056067,FALSE,225603,15792,12211,3580,-5280,12442
"China","CHN","East Asia & Pacific","Asia","UMIC","Never Gavi","Not eligible","99.0%",0.965465425151795,1.0292714169532,FALSE,0.0638059918014084,"99.0%","0.0%",0.0245345748482053,-0.0392714169532031,FALSE,16086657,160866,160866,0,-394679,631745
"Colombia","COL","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","92.8%",0.860520709252063,0.994526005131601,FALSE,0.134005295879539,"88.0%","-4.8%",0.0194792907479372,-0.114526005131601,FALSE,718632,86235,52084,34151,-13998,82302
"Comoros","COM","Eastern & Southern Africa","Africa","LMIC","Initial self-financing","Gavi-eligible","91.0%",0.783857913968004,1.036142086032,FALSE,0.252284172063993,"87.0%","-4.0%",0.0861420860319962,-0.166142086031996,FALSE,25562,3323,2300,1022,-2201,4246
"Congo","COG","West & Central Africa","Africa","LMIC","Initial self-financing","Gavi-eligible","79.0%",0.64625360236836,0.93374639763164,FALSE,0.287492795263281,"73.0%","-6.0%",0.0837463976316404,-0.20374639763164,FALSE,170899,46142,35888,10253,-14312,34820
"Costa Rica","CRI","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","95.0%",0.887531848088232,1.01246815191177,FALSE,0.124936303823536,"95.0%","0.0%",0.0624681519117678,-0.0624681519117678,FALSE,67783,3389,3389,0,-4234,4234
"Cote d'Ivoire","CIV","West & Central Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","84.0%",0.690395061567303,0.989604938432697,FALSE,0.299209876865395,"80.0%","-4.0%",0.109604938432697,-0.189604938432697,FALSE,876019,175203,140163,35040,-96016,166097
"Croatia","HRV","Eastern Europe & Central Asia","Europe","HIC","Never Gavi","Not eligible","94.1%",0.923707187976372,0.958336399982763,FALSE,0.0346292120063914,"94.0%","-0.1%",0.0162928120236281,-0.0183363999827633,FALSE,35209,2112,2076,35,-573,645
"Cuba","CUB","Latin America & Caribbean","Americas","UMIC","Fully self-financing","Not eligible","99.0%",0.846253044263249,1.13374695573675,FALSE,0.287493911473503,"99.0%","0.0%",0.143746955736751,-0.143746955736751,FALSE,110221,1102,1102,0,-15843,15843
"Czechia","CZE","Western Europe","Europe","HIC","Never Gavi","Not eligible","97.2%",0.958774629510719,0.985039549951989,FALSE,0.0262649204412697,"97.0%","-0.2%",0.0112253704892806,-0.0150395499519891,FALSE,108083,3242,3036,206,-1213,1625
"Democratic People's Republic of Korea","PRK","East Asia & Pacific","Asia","LIC","Initial self-financing","Gavi-eligible","97.0%",0.912670460444613,1.02732953955539,FALSE,0.114659079110774,"97.0%","0.0%",0.057329539555387,-0.0573295395553868,FALSE,350814,10524,10524,0,-20112,20112
"Democratic Republic of the Congo","COD","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","57.0%",0.429886086546371,0.710113913453629,FALSE,0.280227826907257,"57.0%","0.0%",0.140113913453629,-0.140113913453629,FALSE,3374241,1450923,1450923,0,-472778,472778
"Denmark","DNK","Western Europe","Europe","HIC","Never Gavi","Not eligible","96.6%",0.926054636929182,1.00504608216114,FALSE,0.0789914452319616,"97.0%","0.4%",0.0439453630708175,-0.035046082161144,FALSE,63072,1892,2172,-280,-2771,2210
"Djibouti","DJI","Eastern & Southern Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","85.0%",0.710319615013602,0.989680384986398,FALSE,0.279360769972796,"70.0%","-15.0%",-0.0103196150136021,-0.289680384986398,TRUE,19684,5905,2952,2952,203,5702
"Dominica","DMA","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","97.2%",0.931350581878314,1.01364941812169,FALSE,0.0822988362433718,"97.0%","-0.2%",0.0386494181216862,-0.0436494181216855,FALSE,NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","89.0%",0.801059288780774,0.978086839510019,FALSE,0.177027550729245,"82.0%","-7.0%",0.0189407112192261,-0.158086839510019,FALSE,199478,35906,22027,13878,-3778,31534
"Ecuador","ECU","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","85.2%",0.805831032313963,0.898648017337722,FALSE,0.092816985023759,"70.0%","-15.2%",-0.105831032313963,-0.198648017337722,TRUE,333092,99927,49217,50709,35251,66168
"Egypt","EGY","Middle East & North Africa","Africa","LMIC","Never Gavi","Not eligible","94.6%",0.920758139361612,0.971187048318643,FALSE,0.0504289089570316,"94.0%","-0.6%",0.0192418606383883,-0.0311870483186433,FALSE,2526074,151564,136477,15087,-48606,78780
"El Salvador","SLV","Latin America & Caribbean","Americas","LMIC","Never Gavi","Not eligible","87.3%",0.77491451639465,0.97162959706543,TRUE,0.196715080670779,"72.0%","-15.3%",-0.0549145163946504,-0.25162959706543,TRUE,114102,31948,14459,17488,6265,28711
