unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
WCAR,GAB,Gabon,DTP1,76,69,77,78,81,83,87,77,80,86,82,82,81,85,86,69,69,69,69,69,69,69,69,72,75,78,81,85,88,92,94,96,96,86,76,66,56,46,36,,,
WCAR,GMB,Gambia,DTP1,82,88,93,94,93,99,99,98,99,99,99,99,98,96,98,98,95,96,97,96,97,97,97,98,98,99,99,99,99,97,96,98,96,96,95,93,90,91,88,91,87,89
ECAR,GEO,Georgia,DTP1,97,95,99,99,98,97,97,99,99,94,98,99,99,99,99,99,91,88,95,96,97,89,88,87,88,90,91,80,77,80,,,,,,,,,,,,
Non-programme,DEU,Germany,DTP1,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,98,98,97,97,97,96,99,95,95,94,92,90,83,95,93,93,93,93,93,96,93,97,97,98,98,
WCAR,GHA,Ghana,DTP1,99,94,97,97,99,94,97,99,94,92,94,96,96,96,96,87,88,88,87,84,81,96,86,87,88,88,88,88,86,83,82,80,75,72,67,60,46,42,47,47,46,27
Non-programme,GRC,Greece,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,96,96,96,96,96,96,96,96,96,96,96,96,96,95,77,77,94,94,93,77,82,89,94,98,89
LACR,GRD,Grenada,DTP1,79,79,97,96,98,98,94,97,99,99,98,99,99,99,98,97,99,87,99,99,98,99,96,99,98,93,98,97,96,96,95,93,95,85,93,98,82,91,87,79,68,50
LACR,GTM,Guatemala,DTP1,89,92,92,94,98,99,99,91,98,98,94,96,95,99,88,95,97,98,96,93,93,94,91,94,90,86,91,88,91,86,84,86,74,72,39,62,45,72,69,70,67,68
WCAR,GIN,Guinea,DTP1,62,62,62,62,62,62,64,58,64,70,76,86,76,64,76,75,75,75,71,68,64,61,57,72,72,72,77,77,77,76,61,40,40,39,37,37,37,37,37,37,,
WCAR,GNB,Guinea-Bissau,DTP1,81,87,86,92,91,90,91,92,93,94,92,93,94,91,89,86,83,81,79,77,75,73,68,76,83,77,70,90,89,86,84,82,86,95,87,88,57,57,45,,,
LACR,GUY,Guyana,DTP1,98,99,99,99,97,97,96,99,98,99,97,99,99,94,96,95,93,97,93,96,98,97,97,97,96,94,95,96,97,92,93,94,91,84,86,84,91,88,79,77,70,60
LACR,HTI,Haiti,DTP1,75,75,75,84,84,84,84,79,82,85,88,87,86,86,85,84,83,81,79,77,75,73,71,69,66,75,75,75,73,72,70,66,74,72,53,48,42,36,29,35,36,21
LACR,HND,Honduras,DTP1,82,85,89,93,92,98,99,99,99,98,99,99,99,97,94,96,99,98,97,98,98,98,98,99,96,97,97,97,97,97,97,94,95,90,80,83,80,66,76,71,59,53
Non-programme,HUN,Hungary,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,ISL,Iceland,DTP1,97,96,95,97,97,96,96,96,97,97,99,98,99,99,97,97,95,99,97,96,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,98,99,99
ROSA,IND,India,DTP1,88,87,94,93,92,91,90,90,90,89,89,86,84,81,81,81,82,77,76,75,75,74,74,78,82,86,88,86,82,79,80,88,74,65,55,44,41,39,36,33,25,25
EAPR,IDN,Indonesia,DTP1,74,83,90,90,90,90,90,93,97,90,88,89,88,88,85,86,85,84,84,83,82,84,86,88,90,89,87,87,86,84,83,82,80,77,74,72,52,35,25,18,18,
