unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EAPR,PHL,Philippines,DTP3,57,71,71,75,80,84,74,79,84,89,89,88,88,87,87,88,89,88,84,79,79,78,80,81,81,75,70,73,76,80,90,88,86,79,72,66,59,57,55,54,54,47
Non-programme,POL,Poland,DTP3,90,90,95,95,96,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,97,96,96,95,95,95,96,96,96,96,95,94,95,95,95,96,96
Non-programme,PRT,Portugal,DTP3,99,99,99,99,98,98,98,98,98,98,97,98,96,97,97,97,93,95,99,98,97,96,97,97,94,95,93,97,93,94,96,89,88,81,83,81,72,78,79,78,75,73
MENA,QAT,Qatar,DTP3,98,89,98,98,97,98,99,89,97,92,93,97,99,97,94,96,97,96,92,96,93,80,92,94,92,92,92,91,90,88,86,82,81,69,72,72,71,60,49,37,43,61
EAPR,KOR,Republic of Korea,DTP3,98,98,98,98,97,98,98,99,99,99,99,94,94,94,91,98,96,88,97,97,97,97,86,74,80,90,99,93,88,84,79,74,89,58,57,76,76,76,69,61,61,
ECAR,MDA,Republic of Moldova,DTP3,87,86,91,93,88,89,87,90,90,92,93,90,85,90,92,97,98,98,98,97,97,95,97,97,97,97,96,86,70,84,,,,,,,,,,,,
ECAR,MKD,Republic of North Macedonia,DTP3,81,84,92,92,91,95,91,95,98,95,96,95,96,95,95,93,97,94,96,96,91,95,95,94,97,93,95,88,90,,,,,,,,,,,,,
ECAR,ROU,Romania,DTP3,86,87,88,86,82,89,89,94,92,91,89,94,95,96,96,97,97,97,97,98,99,99,97,97,97,98,98,98,91,98,98,96,96,96,92,89,95,,,,,
ECAR,RUS,Russian Federation,DTP3,97,97,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,97,96,97,96,96,95,91,88,84,78,88,79,73,,,,,,,,,,,,
ESAR,RWA,Rwanda,DTP3,88,91,98,97,98,98,98,98,98,98,97,97,97,97,97,99,95,89,96,88,77,90,85,79,73,89,83,23,83,85,91,84,82,80,88,87,50,55,59,38,17,
LACR,KNA,Saint Kitts and Nevis,DTP3,96,99,97,98,98,98,94,98,97,98,98,96,98,99,99,99,99,96,99,97,99,99,99,98,99,99,99,99,99,99,99,99,99,94,96,99,92,97,90,92,67,56
LACR,LCA,Saint Lucia,DTP3,80,86,92,95,80,95,99,99,99,98,99,97,95,96,99,85,95,91,90,74,99,70,89,88,98,88,98,93,97,96,96,89,92,78,85,78,87,83,81,79,64,56
LACR,VCT,Saint Vincent and the Grenadines,DTP3,97,97,97,97,99,99,99,98,97,96,96,99,99,99,99,99,99,99,99,99,99,98,95,99,99,99,97,99,99,99,99,98,98,98,97,95,90,86,80,67,32,26
EAPR,WSM,Samoa,DTP3,85,89,68,44,67,74,80,78,84,82,82,78,64,39,65,50,59,63,90,92,90,98,97,99,96,95,94,93,92,91,79,90,66,90,93,94,89,96,89,87,66,29
Non-programme,SMR,San Marino,DTP3,90,89,88,90,88,86,85,84,86,89,92,90,90,91,91,92,96,95,96,96,97,98,99,99,99,99,99,88,99,99,99,99,99,99,99,99,99,99,99,,,
WCAR,STP,Sao Tome and Principe,DTP3,97,96,95,95,95,96,96,95,97,96,96,98,98,99,97,97,97,96,94,92,92,82,78,73,73,68,79,83,60,68,87,92,63,77,72,65,48,49,26,34,42,
MENA,SAU,Saudi Arabia,DTP3,97,95,96,96,98,98,98,98,98,98,98,98,98,98,96,96,96,96,95,95,97,95,93,94,92,93,96,95,94,91,91,92,96,89,89,86,81,76,67,62,53,41
WCAR,SEN,Senegal,DTP3,85,91,95,92,93,93,89,89,92,91,92,89,86,88,94,89,84,87,73,60,52,52,60,59,59,70,80,57,58,59,51,51,47,59,57,54,,,,,,
ECAR,SRB,Serbia,DTP3,92,92,97,96,95,92,95,93,95,91,94,91,95,95,94,92,98,88,89,95,93,95,92,93,94,91,89,85,85,84,,,,,,,,,,,,
ESAR,SYC,Seychelles,DTP3,94,97,99,99,97,96,97,99,98,98,99,99,99,99,99,99,99,99,99,99,96,98,99,99,98,99,97,96,96,96,98,99,97,94,89,94,86,95,97,55,13,
WCAR,SLE,Sierra Leone,DTP3,92,91,95,93,90,84,86,83,92,91,89,86,84,77,64,64,65,65,73,53,38,44,43,,,,,,,,,,,,,,,,,,,
EAPR,SGP,Singapore,DTP3,96,96,96,96,96,97,96,96,97,97,96,96,97,97,97,95,96,95,96,94,96,98,97,97,98,97,98,95,92,89,91,85,90,90,96,91,78,77,84,83,87,84
Non-programme,SVK,Slovakia,DTP3,97,97,97,96,96,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,
Non-programme,SVN,Slovenia,DTP3,86,95,95,93,94,94,95,95,95,96,96,96,96,97,97,97,95,94,95,93,92,91,92,91,94,98,98,98,98,98,,,,,,,,,,,,
EAPR,SLB,Solomon Islands,DTP3,87,94,94,85,83,94,87,77,83,92,91,83,86,85,88,99,89,90,84,78,84,86,88,70,72,72,69,68,65,71,76,77,67,69,66,42,38,45,27,23,35,46
ESAR,SOM,Somalia,DTP3,42,42,42,42,42,42,42,42,42,42,41,45,42,31,40,26,35,30,40,40,33,33,36,33,19,21,22,23,22,21,20,19,18,26,25,17,22,10,5,5,2,
ESAR,ZAF,South Africa,DTP3,86,84,85,82,84,85,85,85,81,71,75,77,81,82,85,84,81,74,69,70,71,73,74,75,76,73,72,73,81,79,81,72,71,70,72,70,75,75,74,,,
ESAR,SSD,South Sudan,DTP3,49,49,49,49,47,45,46,50,53,63,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-programme,ESP,Spain,DTP3,92,94,95,96,95,97,97,97,96,96,97,97,96,97,96,98,96,97,98,98,96,95,95,95,94,90,90,88,87,84,86,86,93,93,77,88,79,95,,,,
ROSA,LKA,Sri Lanka,DTP3,96,96,99,99,99,99,99,99,99,99,99,99,97,98,98,98,99,97,99,98,98,99,99,94,97,92,93,88,90,88,86,86,87,83,77,75,70,66,64,57,45,46
MENA,PSE,State of Palestine,DTP3,95,98,99,99,99,99,99,99,99,97,99,99,97,96,99,96,96,96,98,97,97,93,89,98,96,97,99,98,94,,,,,,,,,,,,,
MENA,SDN,Sudan,DTP3,84,90,93,93,95,93,93,94,93,92,93,90,81,86,84,78,78,74,69,60,66,62,55,46,55,56,48,46,51,53,62,62,60,40,27,14,8,4,3,2,1,1
LACR,SUR,Suriname,DTP3,72,51,77,81,67,77,73,71,76,76,80,94,87,85,84,84,83,85,75,73,68,71,85,90,81,85,84,74,76,74,75,83,72,64,71,80,84,80,85,61,27,25
Non-programme,SWE,Sweden,DTP3,98,97,98,97,97,98,98,97,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,CHE,Switzerland,DTP3,96,96,96,96,96,96,96,96,96,96,96,95,95,95,94,94,94,93,93,93,93,93,93,88,89,89,89,89,89,89,89,90,90,90,90,90,,,,,,
MENA,SYR,Syrian Arab Republic,DTP3,48,49,54,47,48,42,41,43,41,45,72,80,80,79,80,80,80,81,83,84,82,84,86,87,87,88,89,89,90,89,89,91,94,59,42,86,29,25,21,15,14,13
ECAR,TJK,Tajikistan,DTP3,97,97,97,96,96,96,96,97,96,94,96,93,93,86,86,83,84,86,85,85,85,83,82,79,81,75,80,81,64,72,,,,,,,,,,,,
EAPR,THA,Thailand,DTP3,97,97,97,97,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,96,96,97,97,96,95,94,96,93,89,85,90,92,84,80,75,66,62,53,49,49,52,49
EAPR,TLS,Timor-Leste,DTP3,86,86,90,83,83,79,76,77,82,83,67,72,72,79,70,63,55,57,55,54,,,,,,,,,,,,,,,,,,,,,,
WCAR,TGO,Togo,DTP3,83,82,84,81,83,82,82,84,84,84,85,83,78,81,82,84,82,71,72,59,50,64,57,42,42,50,58,62,66,69,73,77,72,54,61,37,24,11,18,14,9,
EAPR,TON,Tonga,DTP3,99,99,99,99,99,96,96,98,99,95,99,99,99,99,99,99,99,99,98,90,94,95,94,97,96,99,95,89,96,99,88,94,93,92,99,75,92,51,63,52,37,40
LACR,TTO,Trinidad and Tobago,DTP3,94,96,93,99,89,97,96,92,92,92,90,90,90,90,88,92,95,94,91,96,91,90,90,91,90,89,89,85,81,87,82,82,77,82,79,70,75,65,60,54,62,26
MENA,TUN,Tunisia,DTP3,97,97,98,97,98,98,98,98,98,97,98,98,99,99,98,99,98,97,95,96,98,97,99,96,96,95,94,93,94,95,93,93,93,91,84,72,70,66,62,,,
ECAR,TUR,Türkiye,DTP3,95,98,99,98,96,98,97,96,98,97,97,97,96,96,96,90,90,85,68,78,88,85,79,81,79,72,67,87,76,77,72,84,79,86,86,45,55,56,56,58,64,42
ECAR,TKM,Turkmenistan,DTP3,97,98,99,99,99,98,99,98,98,97,97,96,96,96,98,98,99,97,83,98,95,97,98,99,98,97,93,90,73,84,,,,,,,,,,,,
EAPR,TUV,Tuvalu,DTP3,94,95,92,89,96,94,96,89,90,97,96,89,88,99,97,97,93,98,93,98,96,82,83,94,77,97,87,99,80,70,74,99,85,89,59,73,52,37,79,72,49,36
ESAR,UGA,Uganda,DTP3,91,89,93,93,94,93,89,85,84,83,82,80,79,71,73,64,64,62,59,57,55,52,50,48,56,57,59,60,56,53,49,45,42,38,30,21,14,14,14,12,9,
ECAR,UKR,Ukraine,DTP3,78,81,80,69,50,19,23,23,76,76,50,52,71,90,98,98,96,99,97,99,99,99,99,98,99,99,98,97,93,88,,,,,,,,,,,,
MENA,ARE,United Arab Emirates,DTP3,96,90,99,99,97,99,99,99,98,96,95,94,93,92,92,92,94,94,94,94,94,94,94,94,92,90,90,90,90,86,85,85,84,82,80,78,76,59,50,43,45,11
Non-programme,GBR,United Kingdom,DTP3,93,93,93,94,94,94,95,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91,92,91,92,94,94,93,93,92,88,84,78,75,73,67,65,65,59,53,46,41
ESAR,TZA,United Republic of Tanzania,DTP3,81,86,89,89,90,92,96,97,91,92,90,91,85,86,83,90,90,95,95,89,87,79,76,79,79,82,81,84,83,83,81,78,77,85,79,74,67,58,52,50,55,59
Non-programme,USA,United States,DTP3,93,93,94,94,94,95,95,95,94,94,96,95,95,96,96,96,96,96,96,94,94,94,96,96,96,95,95,94,88,83,86,90,94,97,97,97,96,97,97,96,96,96
LACR,URY,Uruguay,DTP3,89,92,94,91,93,95,95,95,94,95,95,95,95,94,94,95,96,94,91,95,94,90,93,91,91,91,91,91,92,93,96,97,88,82,85,70,63,62,73,67,57,53
ECAR,UZB,Uzbekistan,DTP3,98,95,96,98,99,99,99,99,99,99,99,99,98,98,96,96,99,99,98,99,99,99,99,99,96,95,87,67,45,90,,,,,,,,,,,,
EAPR,VUT,Vanuatu,DTP3,62,78,90,85,85,81,80,86,84,82,79,77,75,73,70,68,68,69,69,70,70,71,71,72,72,67,73,74,86,77,83,76,61,58,56,31,30,28,27,22,,
LACR,VEN,Venezuela (Bolivarian Republic of),DTP3,56,54,64,60,66,84,87,78,82,81,78,78,84,50,62,71,87,86,68,65,70,77,76,39,60,57,68,63,67,67,64,63,57,56,57,58,49,33,58,53,54,56
EAPR,VNM,Viet Nam,DTP3,83,94,89,75,94,96,97,95,59,97,95,93,96,93,92,94,95,96,99,75,96,96,93,94,95,94,93,94,91,88,88,88,88,70,50,43,42,5,4,,,
MENA,YEM,Yemen,DTP3,72,72,73,65,68,71,69,73,73,67,69,76,76,78,79,78,79,72,61,65,73,74,71,68,40,47,44,33,54,50,47,84,56,36,18,13,12,7,5,4,3,1
ESAR,ZMB,Zambia,DTP3,91,84,88,90,94,95,90,86,79,78,81,83,94,87,80,81,82,83,83,84,85,85,84,84,83,84,86,90,86,83,79,91,83,83,83,66,66,59,49,,,
ESAR,ZWE,Zimbabwe,DTP3,86,86,90,89,89,90,87,91,95,95,93,89,73,75,73,70,68,65,68,71,75,78,81,84,86,90,88,87,85,86,87,88,87,85,84,75,63,60,53,46,39,
